Element,Ionization energy,Electron affinity,Covalent radius,ln_I,Atomic volume,ln_V,Atomic mass,Atomic Radius,X,Valence
Lu,5.42586,0.2388,1.75,1.691176412,17.78,2.87807423,174.967,1.75,1.27,1
Hf,6.82507,0.178,1.87,1.920602597,13.44,2.598235335,178.49,1.55,1.3,2
Ta,7.54957,0.328859,1.7,2.021490608,10.85,2.38416508,180.94788,1.45,1.5,3
W,7.86403,0.81626,1.62,2.062299198,9.47,2.248128907,183.84,1.35,2.36,4
Re,7.83352,0.060396,1.51,2.058411962,8.86,2.181546765,186.207,1.35,1.9,5
Os,8.43823,1.077661,1.44,2.132772571,8.42,2.130609828,190.23,1.3,2.2,6
Ir,8.96702,1.564057,1.41,2.193553402,8.52,2.142416341,192.217,1.35,2.2,7
Pt,8.9588,2.1251,1.36,2.192636289,9.09,2.207174908,195.084,1.35,2.28,10
Au,9.22553,2.30861,1.36,2.221974641,10.21,2.323367632,196.966569,1.35,2.54,1
Hg,10.4375,-0.5,1.32,2.34540509,14.09,2.645465326,200.59,1.5,2,2
Tl,6.108194,0.320053,1.45,1.809631148,17.22,2.846071499,204.3833,1.9,1.62,1
Pb,7.41663,0.356721,1.46,2.003724776,18.26,2.904712875,207.2,1.8,2.33,2
Bi,7.2855,0.942362,1.48,1.985886071,21.31,3.059176446,208.9804,1.6,2.02,3
Po,8.414,1.4,1.4,2.129896985,22.97,3.134189017,210,1.9,2,4
At,9.31751,2.41578,1.5,2.231895426,23.6,3.161246712,210,,2.2,5
Rn,10.7485,-0.7,1.5,2.37476621,50.5,3.921973336,220,,2.2,0
Fr,4.072741,0.486,2.6,1.404316237,89.91935484,4.498913211,223,,0.7,1
Ra,5.278423,0.1,2.21,1.663627379,41.09,3.715764783,226,2.15,0.9,2
Ac,5.17,0.35,2.15,1.642872689,22.554,3.115912434,227,1.95,1.1,1
Th,6.3067,0.60769,2.06,1.84161256,19.8,2.985681938,232.03806,1.8,1.3,2
Pa,5.89,0.55,2,1.773255998,15.18,2.719978772,231.03588,1.8,1.5,3
U,6.1941,0.31497,1.96,1.823597226,12.49,2.524928324,238.02891,1.75,1.38,4
Np,6.2657,0.48,1.9,1.835090314,11.59,2.450142657,237,1.75,1.36,5
Pu,6.026,-0.5,1.87,1.796083441,12.29,2.508785924,244,1.75,1.28,6
Am,5.9738,0.1,1.8,1.787383241,17.63,2.869601996,243,1.75,1.3,7
Cm,5.9914,0.28,1.69,1.790325108,18.05,2.893145685,247,1.76,1.3,8
Bk,6.1979,-1.72,,1.824210525,16.84,2.823757009,247,,1.3,9
Cf,6.2817,-1.01,,1.837640644,16.5,2.803360381,251,,1.3,10
Es,6.42,-0.3,,1.859418118,28.52,3.350605596,252,,1.3,11
Fm,6.5,0.35,,1.871802177,,,257,,1.3,12
Md,6.58,0.98,,1.884034745,,,258,,1.3,13
No,6.65,-2.33,,1.894616855,,,259,,1.3,2
Lr,4.9,-0.31,,1.589235205,,,262,,1.3,1
Rf,6,,,1.791759469,,,,,,
